Tên di tích,Tọa độ
"Dinh Độc Lập – Nơi ghi dấu thắng lợi hoàn toàn cuộc kháng chiến chống Mỹ cứu nước, giải phóng miền Nam, thống nhất đất nước","10.777152445580176, 106.6953370089775"
Di tích lịch sử Địa đạo Củ Chi,"11.141525139733433, 106.46212044155315"
"Di tích lịch sử đường Hồ Chí Minh 
 trên biển (Bến Lộc An)","9.832616798696527, 106.65656177017404"
Di tích lịch sử nhà tù Côn Đảo,"8.688233939345261, 106.61422492122314"
"Di tích chiến thắng Bình Giã (Chi
 khu quân sự Đức Thạnh, ngã ba
 Bình Giã, ngã ba Sông Cầu, ngã ba
 Quảng Giáo)","10.65478624954869, 107.24834876091408"
Căn cứ Minh Đạm,"10.40548579382776, 107.26077350902882"
Căn cứ Rừng Sác,"10.414924408006014, 106.88183143501408"
Chiến khu Đ,"11.12594035725486, 106.86328916335086"
Địa đạo Kim Long,"10.719626707385835, 107.22760041074827"
Địa đạo Phú Thọ Hòa,"10.78388607955183, 106.63089939238137"
"Địa Đạo Tây Nam
  ( Tam Giác Sắt)","11.0899618656236, 106.54076260179036"
"Địa điểm lưu 
 niệm Chủ tịch Tôn Đức Thắng tại khu 
 vực Ba Son, gồm Ụ tàu nhò và Triền nề","10.778419640042815, 106.7062557598295"
Hầm bí mật chứa vũ khí thời kháng chiến chống Mỹ,"10.771857251306303, 106.67498699673442"
Khu trại giam Bệnh viện Chợ Quán – nơi đồng chí Trần Phú hy sinh,"10.753291478346345, 106.6791565532884"
Ngã Ba Giồng,"10.868326056842957, 106.56114184448106"
Nhà lưu niệm Võ Thị Sáu,"10.489238260856842, 107.26906343191851"
Nhà tù Phú Lợi (căng Phú Lợi),"10.990875383171833, 106.68172397856634"
Nơi đồng chí Nguyễn Tất Thành ở trước khi ra đi tìm đường cứu nước,"10.75116845073847, 106.65892268503289"
Nơi thành lập An Nam Cộng sản Đảng năm 1929,"10.773462235716813, 106.69957480365504"
"Địa điểm Sở chỉ huy tiền phương 
 chiến dịch Hồ Chí Minh","11.393758719278207, 106.50301280115599"
Cù Lao Rùa,"10.981609182199021, 106.78390677676012"
Dốc Chùa,"11.067343480738144, 106.82521994256845"
Giồng Cá Vồ,"10.41214603381856, 106.92439756540267"
Lò gốm cổ Hưng Lợi,"10.725161836697179, 106.62619057624681"
Ăngten Parabol (đài viba) – Núi Lớn,"10.360621170790981, 107.06865658591083"
Bót Dây Thép,"10.84432300518277, 106.79344348946373"
Cơ sở Ban Tuyên huấn Xứ ủy Nam Bộ,"10.770082759284733, 106.68102171071199"
Cơ sở giấu vũ khí của Biệt động Thành đánh Dinh Độc Lập,"10.772156049190235, 106.68593062724516"
Cơ sở in ấn của Hội Ủng hộ Vệ quốc đoàn,"10.765932992834673, 106.67278044315532"
Di tích 86 Phan Chu Trinh,"10.339254350562614, 107.07929444545312"
Dinh Quận Hóc Môn,"10.889130485738628, 106.59508153607723"
Địa đạo Long Phước,"10.534984337591599, 107.2343453676219"
Địa điểm trận chiến ngày 06/6/1969 tại Bình Ba,"10.615782349945976, 107.23380016501724"
Đình Bình Đông,"10.727831895787673, 106.64140501401909"
Đình Phong Phú,"10.836977371206373, 106.78149115859911"
Đồn ngã tư Giếng Nước,"10.36917181081688, 107.0845814321904"
Địa đạo Hắc Dịch,"10.660656731295813, 107.15437217202476"
Hầm bí mật in tài liệu Ban Tuyên huấn Hoa vận thời kỳ chống Mỹ cứu nước,"10.744829344447906, 106.64910630231155"
Mộ Phan Châu Trinh,"10.804355392612553, 106.66177186964825"
“Nhà cao cẳng” số 18 Lê Lợi.,"10.34970623680699, 107.07445125486903"
"Ngôi nhà 42/11 (nhà má Tám 
 Nhung)","10.37033093678849, 107.07444299419018"
"Nhà số 18/5 (nhà ông Trương 
 Quang Vinh)","10.369161367333705, 107.0776155903031"
Nhà Tròn,"10.497347165928701, 107.16746821340014"
"Nơi thành lập Kỳ bộ Việt Nam 
 Thanh niên đồng chí Hội","10.772980876899364, 106.69933094006532"
Khu căn cứ Núi Dinh,"10.538882112465636, 107.12478099385694"
Sở Chỉ huy tiền phương Phân khu 6 trong chiến dịch Mậu Thân 1968,"10.790878038103427, 106.68710986507587"
Tịnh xá Ngọc Phương,"10.815347772160434, 106.68971140693309"
Tòa Đại sứ quán Mỹ,"10.787056272731409, 106.70435105568858"
Trại Đa-vít,"10.825870869658717, 106.65680532165945"
Trận địa pháo cổ Cầu Đá,"10.337952808077102, 107.07205855570365"
"Trận địa pháo cổ trên núi Tao 
 Phùng (Núi Nhỏ)","10.328571373067225, 107.08243963200462"
Di tích trận địa Pháo cổ và Hầm thủy lôi Núi Lớn,"10.381098149862096, 107.05852023440399"
Trụ sở Báo Dân Chúng,"10.769025732274935, 106.69783421085772"
"Trụ sở Phái đoàn liên lạc của Bộ Tổng 
 tư lệnh Quân đội Nhân dân Việt Nam 
 cạnh Phân ban Quốc tế giám sát và 
 kiểm soát đình chiến tại Sài Gòn 
 (1955-1958)","10.802987698357986, 106.68733333079545"
Trụ sở Ủy ban Việt Minh tại Vũng Tàu,"10.34798620615014, 107.07313618065731"
Bạch Dinh,"10.35087105854076, 107.06866876117707"
Bảo tàng Lịch sử Thành phố Hồ Chí Minh,"10.7880998220292, 106.70473082107647"
Bảo tàng Thành phố Hồ Chí Minh,"10.776016764087215, 106.69955393549671"
Chùa Giác Lâm,"10.778819897568113, 106.64918370829508"
Chùa Giác Viên,"10.76314796160562, 106.63918448311219"
Chùa Hội Khánh,"10.980312946035541, 106.65886278772359"
Chùa Hội Sơn,"10.871140824793784, 106.84095365214384"
Chùa Long Bàn,"10.485861508976331, 107.21752235304554"
Chùa Phụng Sơn,"10.756620025748866, 106.64480484242095"
Chùa Phước Lâm (Phước Lâm Tự),"10.371205473766906, 107.07952767596208"
Chùa Phước Tường,"10.842216656202178, 106.7887960814335"
Chùa Sắc Tứ Trường Thọ,"10.828500565698352, 106.68408850683683"
Dinh Cô,"10.386575500382035, 107.2341463440673"
Chùa Ngọc Hoàng,"10.79174764740094, 106.69788126124845"
Đình Bình Hòa,"10.811700389346413, 106.69644906762382"
Đình Chí Hòa,"10.781495968270306, 106.67305225228048"
Đình Dĩ An,"10.901594883611589, 106.75870979646022"
Đình Minh Hương Gia Thạnh,"10.75217534282721, 106.66109305535474"
Đình Phú Long,"10.8954642703731, 106.69559303693825"
